,cross,para,-1-2-,-2-3-,-2-9-,-1-10-,-9-16-,-17-18-,-18-19-,-18-20-,"Dist(1, 2)","Dist(2, 3)","Dist(2, 9)","Dist(1, 10)","Dist(9, 16)","Dist(17, 18)","Dist(18, 19)","Dist(18, 20)","Dist(16, 17)","Dist(10, 17)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO H 16,NBO O 17,NBO C 18,NBO H 19,NBO C 20,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 H16,diff H10 O17,diff H16 O17,diff O17 C18,diff C18 H19,diff C18 C20,B1,B5,L,output
Ph,1647.0682,1676.5833,1403.0325,1414.3114,1403.0325,3823.066,3865.9687,1820.2428,3002.9817,1820.2428,1.370397643,1.562787113,1.367036052,0.965289909,0.963108774,1.206823011,1.103866053,1.477890123,2.203842811,2.029515434,-2.0223,4.2322,-1.6852,4.9841,-0.91722,1.11723,-0.40067,-0.89964,0.50346,0.49838,-0.57301,0.4566,0.12613,-0.16952,2.03445,1.5179,2.01687,1.42068,1.39802,1.07647,1.07139,1.02961,0.33047,0.62612,1.7,3.15,6.84,0.946943271
m_F,1657.9354,1684.996,1398.3994,1398.3994,1421.1787,3819.4525,3863.8703,1819.2615,3003.5898,1819.2615,1.368381569,1.565502378,1.365442118,0.965630626,0.963285006,1.207090469,1.103665724,1.477532514,2.194567573,2.015716375,3.2453,-4.1507,2.3776,5.7805,-0.91577,1.11729,-0.37394,-0.89865,0.50502,0.50028,-0.57525,0.4576,0.1272,-0.16995,2.03306,1.49123,2.01594,1.42079,1.39893,1.08027,1.07553,1.03285,0.3304,0.62755,1.7,3.69,6.85,1.086359831
m_Me,1679.9304,1655.1892,1419.0635,1655.1892,1393.2419,3827.8815,3867.6088,1426.1808,1820.1608,1820.1608,1.370742412,1.562569627,1.367443792,0.96516225,0.963042948,1.206795335,1.10394059,1.477854238,2.189546661,2.048668191,-2.6766,-3.5439,-1.8259,4.8018,-0.91635,1.11766,-0.39337,-0.90031,0.50307,0.49805,-0.57278,0.45621,0.12572,-0.16936,2.03401,1.51103,2.01797,1.41942,1.39836,1.07585,1.07083,1.02899,0.33049,0.62557,1.74,4.38,6.83,0.872156273
m_naph,1645.4698,1676.0313,1416.3599,1420.7714,1420.7714,3823.434,3867.172,1820.1199,3000.237,1820.1199,1.3701538,1.562535046,1.366902108,0.965389512,0.963055033,1.206887269,1.10385137,1.477825987,2.199312511,2.029982361,3.6879,-3.4869,-0.4539,5.0956,-0.9164,1.11732,-0.39882,-0.89976,0.50406,0.49867,-0.57362,0.4568,0.12621,-0.16966,2.03372,1.51614,2.01708,1.42046,1.39843,1.07768,1.07229,1.03042,0.33059,0.62646,1.7,4.35,8.96,1.017033339
m_tfm,1686.5861,1662.0915,1432.95,1432.95,1403.3535,1432.95,3862.0459,1425.5154,1818.9317,1818.9317,1.367735679,1.566181603,1.364309972,0.965820766,0.963478298,1.207259711,1.103464816,1.477269269,2.177978162,2.004801904,-4.8734,-2.6783,-3.9191,6.8031,-0.91592,1.11747,-0.38826,-0.89805,0.50567,0.50205,-0.5769,0.45847,0.12834,-0.17008,2.03339,1.50573,2.01552,1.42159,1.4001,1.08257,1.07895,1.03537,0.33013,0.62855,1.93,4.91,7,0.986771734
mm_F,1668.034,1693.4809,1418.5193,1526.6327,1430.1862,3812.6578,3861.3285,1818.5963,3012.6347,1818.5963,1.366538351,1.568166222,1.363837544,0.965911882,0.963561464,1.207369281,1.103459623,1.477108277,2.179682185,1.999813516,4.0543,-5.1537,2.1351,6.8962,-0.91468,1.11765,-0.34786,-0.89765,0.5062,0.50228,-0.57771,0.45877,0.12825,-0.17058,2.03233,1.46551,2.0153,1.42088,1.39993,1.08391,1.07999,1.03648,0.33052,0.62935,1.7,3.69,6.85,0.963787827
mm_oMe,1654.492,1683.7901,1406.5208,1416.057,1416.057,3829.553,3868.6143,1820.2855,2997.4207,1820.2855,1.369698303,1.565640533,1.366200715,0.965149905,0.962974868,1.206736744,1.104047884,1.478035531,2.200311134,2.052787726,1.8395,-1.8774,-0.6327,2.7035,-0.91484,1.11983,-0.35578,-0.89806,0.50344,0.4977,-0.57239,0.45607,0.12522,-0.16936,2.03467,1.47561,2.01789,1.41828,1.39576,1.07583,1.07009,1.02846,0.33085,0.62543,1.89,4.53,7.57,0.908485019
o_F,1650.7018,1686.9262,1393.2149,1393.2149,1423.09,3820.6353,3861.8991,1820.0842,3001.5002,1820.0842,1.371590167,1.568640034,1.361082395,0.965430234,0.963503914,1.20691835,1.103742256,1.477700142,2.184188378,2.025503146,1.8228,-3.3396,1.9709,4.2848,-0.9191,1.11528,-0.46152,-0.88379,0.50544,0.49715,-0.57411,0.45726,0.12689,-0.16925,2.03438,1.5768,1.99907,1.42454,1.38094,1.07955,1.07126,1.03137,0.33037,0.62651,1.7,3.7,6.86,1.283301229
o_Me,1641.4574,1674.1235,1406.1431,1406.1431,1406.1431,3828.6508,3858.6261,1820.1248,3004.4417,1820.1248,1.373411714,1.567837929,1.368343949,0.964888067,0.963683553,1.206889274,1.103885465,1.47765858,2.169081294,2.042458217,2.9639,-4.2821,0.3501,5.2195,-0.92007,1.11677,-0.40577,-0.90359,0.50284,0.49932,-0.57407,0.45693,0.12609,-0.16983,2.03684,1.52254,2.02036,1.42291,1.40291,1.07691,1.07339,1.031,0.33084,0.62676,1.77,4.29,6.84,0.866287339
op_Me,1682.7637,1632.2264,1386.9079,1386.9079,1399.6791,1386.9079,3828.5879,1425.6818,1820.0527,1820.0527,1.369095741,1.565276179,1.374245289,0.963546501,0.964736014,1.206803083,1.103981038,1.477860153,2.056012398,2.17519016,2.8265,-3.2196,-2.0506,4.7497,-0.90392,1.11636,-0.41785,-0.92018,0.49856,0.50244,-0.57299,0.45631,0.12551,-0.16956,2.02028,1.53421,2.03654,1.40248,1.42262,1.07155,1.07543,1.0293,0.3308,0.62587,1.77,4.29,7.78,0.774516966
p_F,1659.2764,1677.1081,1401.8774,1411.5972,1401.8774,3821.5236,3862.9257,1819.2445,3001.7131,1819.2445,1.370071262,1.561092281,1.366841123,0.965364609,0.963192526,1.206992731,1.103729509,1.477550108,2.178132,2.031084448,-3.2831,5.0469,-2.4861,6.514,-0.91708,1.11694,-0.41821,-0.90068,0.50401,0.49989,-0.57467,0.45718,0.12693,-0.16967,2.03402,1.53515,2.01762,1.42109,1.40057,1.07868,1.07456,1.03185,0.33025,0.62685,1.7,3.14,7.42,0.984527313
p_Me,1633.8257,1685.3274,1399.7126,1409.5077,1399.7126,3830.2062,3866.4907,1820.536,1820.536,1820.536,1.371143516,1.560282159,1.367858319,0.965077178,0.962940913,1.206766255,1.104003224,1.4779275,2.19321943,2.054907537,1.32,2.6223,3.4098,4.4995,-0.91636,1.11634,-0.4132,-0.9002,0.50323,0.49748,-0.57251,0.456,0.12542,-0.16945,2.0327,1.52954,2.01654,1.41959,1.39768,1.07574,1.06999,1.02851,0.33058,0.62545,1.71,3.14,7.78,0.819543936
p_MeO,1640.2676,1679.7734,1397.1646,1413.0068,1413.0068,3831.013,3870.3694,1820.6503,2999.5549,1820.6503,1.3725178,1.556504386,1.36857614,0.964920799,0.962864633,1.20666327,1.103999349,1.478088776,2.184222402,2.062904435,2.0519,-2.8738,1.9188,4.0188,-0.91765,1.11508,-0.43806,-0.90114,0.50246,0.4974,-0.5718,0.45572,0.12541,-0.16894,2.03273,1.55314,2.01622,1.42011,1.39854,1.07426,1.0692,1.02752,0.33031,0.62466,1.78,3.15,8.91,0.767155866
p_tBu,1683.7056,1626.8809,1414.0516,1414.0516,1414.0516,1414.0516,1414.0516,1820.5308,1820.5308,1820.5308,1.37112305,1.560487407,1.36773282,0.965087444,0.962996916,1.20674737,1.10395732,1.477894021,2.183419261,2.054726024,-3.3592,-2.4036,-1.9096,4.5507,-0.9163,1.11753,-0.41005,-0.90033,0.50279,0.4979,-0.57252,0.45609,0.12563,-0.16922,2.03383,1.52758,2.01786,1.41909,1.39823,1.07531,1.07042,1.02861,0.33046,0.62531,2.73,3.22,9.03,0.802773725
