,cross,para,-1-2-,-2-3-,-2-9-,-1-10-,-9-16-,-17-18-,-18-19-,-18-20-,"Dist(1, 2)","Dist(2, 3)","Dist(2, 9)","Dist(1, 10)","Dist(9, 16)","Dist(17, 18)","Dist(18, 19)","Dist(18, 20)","Dist(16, 17)","Dist(10, 17)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO H 16,NBO O 17,NBO C 18,NBO H 19,NBO C 20,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 H16,diff H10 O17,diff H16 O17,diff O17 C18,diff C18 H19,diff C18 C20,B1,B5,L,output
Ph,1673.9294,1644.2966,1386.8303,1408.8716,1386.8303,3882.0603,3868.1685,1822.5005,1822.5005,1676.1444,1.372736803,1.562275812,1.365556696,0.961928942,0.962944788,1.205376101,1.105195192,1.480703147,2.479340193,2.747377446,-3.1434,-0.9304,1.8449,3.7618,-0.90526,1.13313,-0.41971,-0.90295,0.4902,0.49909,-0.54911,0.44109,0.12223,-0.17103,2.03839,1.55284,2.03608,1.39546,1.40204,1.03931,1.0482,0.9902,0.31886,0.61212,1.7,3.16,6.83,0.835690571
m_F,1682.3405,1653.7391,1383.4037,1415.6771,1383.4037,1383.4037,3868.6394,1823.8733,1823.8733,1823.8733,1.370510626,1.565123062,1.364227944,0.961911296,0.963129966,1.205244386,1.105500778,1.48077311,2.408428429,2.755251176,-4.4387,-1.868,2.2226,5.3039,-0.90255,1.13308,-0.38834,-0.90331,0.49061,0.50258,-0.54847,0.44164,0.12095,-0.16779,2.03563,1.52142,2.03639,1.39316,1.40589,1.03908,1.05105,0.99011,0.32069,0.60943,1.7,3.73,6.83,0.781755375
m_Me,1674.6699,1651.7933,1381.0459,1406.7503,1381.0459,1822.8403,3870.8553,1822.8403,1822.8403,1822.8403,1.37300653,1.562232431,1.366055331,0.961890429,0.962907429,1.205368249,1.105254565,1.480632107,2.47510245,2.748194751,-3.0665,-0.8666,1.211,3.4089,-0.90522,1.13412,-0.41021,-0.90347,0.48954,0.49876,-0.54902,0.44123,0.12185,-0.17005,2.03934,1.54433,2.03759,1.39476,1.40223,1.03856,1.04778,0.99025,0.31938,0.61128,1.92,5.29,6.82,0.841984805
m_naph,1676.9178,1644.5423,1362.3454,1416.87,1362.3454,1416.87,3871.0092,1820.9243,1820.9243,1820.9243,1.372393736,1.560829647,1.365434034,0.962140063,0.962687616,1.205610509,1.104793006,1.481118176,2.516037834,2.714486125,2.7226,-0.2825,1.6143,3.1778,-0.90378,1.1308,-0.41515,-0.90159,0.49136,0.49801,-0.55121,0.44081,0.12408,-0.17467,2.03458,1.54595,2.03239,1.39514,1.3996,1.04257,1.04922,0.99202,0.31673,0.61548,1.7,4.42,8.91,0.662757832
m_tfm,1683.0623,1662.1068,1394.808,1423.6564,1394.808,3884.7326,1423.6564,1824.7554,2979.3183,1824.7554,1.36994802,1.56572447,1.362803068,0.96193894,0.963202891,1.205089553,1.105527371,1.481132048,2.381287488,2.809288116,6.3248,0.9074,0.9284,6.4566,-0.9025,1.13164,-0.40389,-0.90273,0.49209,0.50495,-0.54701,0.44091,0.12117,-0.16788,2.03414,1.53553,2.03437,1.39459,1.40768,1.0391,1.05196,0.98792,0.31974,0.60879,1.8,5.42,7.37,0.711807229
mm_F,1690.4356,1666.0158,1411.7755,1493.4601,1411.7755,1411.7755,3868.0986,1823.2373,1823.2373,1823.2373,1.368515548,1.567574182,1.3627414,0.96199799,0.963157748,1.205340572,1.105301932,1.481005196,2.467971917,2.701396727,-5.2914,1.2781,-0.7682,5.4975,-0.90156,1.13327,-0.36099,-0.90055,0.49293,0.50269,-0.5486,0.44165,0.12212,-0.16802,2.03483,1.49426,2.03382,1.39449,1.40324,1.04153,1.05129,0.99025,0.31953,0.60967,1.7,3.71,6.83,0.841984805
mm_oMe,1679.933,1648.0589,1411.4827,1411.4827,1402.1951,1411.4827,1411.4827,1824.7073,1824.7073,1824.7073,1.371349571,1.565340691,1.36535617,0.961743523,0.962612648,1.204970626,1.105546781,1.481279394,2.512664013,2.734479116,-1.2477,2.0009,-0.5862,2.4298,-0.90259,1.13592,-0.36518,-0.9012,0.48881,0.49794,-0.54652,0.44146,0.11994,-0.1644,2.03851,1.5011,2.03712,1.3914,1.39914,1.03533,1.04446,0.98798,0.32152,0.60586,1.7,4.57,7.58,0.848189117
o_F,1684.4188,1645.8478,1377.7993,1419.714,1377.7993,3885.8937,3866.2906,1823.8709,1823.8709,1823.8709,1.374028979,1.567911656,1.359765302,0.961795103,0.963251748,1.205091817,1.105384927,1.481089142,2.450493792,2.763480837,2.7815,-0.8115,-3.0941,4.239,-0.90659,1.13055,-0.48117,-0.88731,0.49144,0.4983,-0.54734,0.44072,0.12132,-0.1712,2.03714,1.61172,2.01786,1.39803,1.38561,1.03878,1.04564,0.98806,0.3194,0.61192,1.7,3.7,6.85,0.740362689
o_Me,1638.5067,1670.9116,1374.6885,1374.6885,1374.6885,3885.9868,3862.3885,1821.9169,1821.9169,1821.9169,1.375722543,1.567649731,1.36680098,0.961628081,0.963401949,1.205429713,1.10522207,1.480584225,2.471137929,2.738303578,3.2326,-1.1133,-1.534,3.7473,-0.90935,1.13447,-0.4286,-0.90648,0.48998,0.49965,-0.54973,0.44217,0.122,-0.17028,2.04382,1.56307,2.04095,1.39933,1.40613,1.03971,1.04938,0.9919,0.32017,0.61245,1.74,5.3,6.82,0.491361694
op_Me,1679.3206,1629.3867,1373.632,1629.3867,1373.632,1373.632,3861.5245,1824.2496,1824.2496,1824.2496,1.376631195,1.564829609,1.367480123,0.9614391,0.96346552,1.205179469,1.105559613,1.480599272,2.376465558,2.821606678,-3.0595,1.329,-1.0246,3.4895,-0.90904,1.13394,-0.43751,-0.90906,0.48799,0.5013,-0.54804,0.44185,0.12038,-0.16601,2.04298,1.57145,2.043,1.39703,1.41036,1.03603,1.04934,0.98989,0.32147,0.60786,1.92,5.36,7.79,0.511883361
