,cross,para,-1-2-,-1-8-,-1-16-,-8-14-,-16-17-,-17-18-,-19-20-,"Dist(1, 2)","Dist(1, 8)","Dist(1, 16)","Dist(8, 14)","Dist(16, 17)","Dist(17, 18)","Dist(19, 20)","Dist(14, 18)",dip_x,dip_y,dip_z,Total,NBO B 1,NBO C 2,NBO O 8,NBO O 16,NBO H 14,NBO C 17,NBO O 18,NBO N 19,NBO H 20,diff B1 C2,diff B1 O8,diff B1 O16,diff O8 H14,diff O16 C17,diff C17 O18,diff H14 O18,diff N19 H20,B1,B5,L,output
Ph,1676.7445,1646.9838,1646.9838,1421.2287,1421.2287,3671.3856,1738.8716,1738.8716,1586.6948,1.562127277,1.346474675,1.398358931,0.973217247,1.370553848,1.2286,1.007645721,1.860223742,-5.7043,1.1125,-0.2971,5.8193,0.56716,-0.1994,-0.44705,-0.35732,0.26291,0.37145,-0.21601,-0.13109,0.20564,0.76656,1.01421,0.92448,0.70996,0.72877,0.58746,0.47892,0.33673,1.7,3.19,6.84,0.946943271
m_F,1685.0352,1657.4138,1363.0897,1414.9709,1414.9709,3669.1673,1740.9998,1740.9998,1586.8188,1.564864205,1.345257317,1.395831182,0.973506821,1.372762984,1.2285,1.00748128,1.861356025,4.4864,-1.5586,-0.7553,4.8091,0.56718,-0.1859,-0.44603,-0.35806,0.26346,0.37205,-0.21434,-0.129,0.20557,0.75308,1.01321,0.92524,0.70949,0.73011,0.58639,0.4778,0.33457,1.7,3.66,6.85,1.086359831
m_Me,1678.8196,1652.9183,1652.9183,1409.8661,1360.8575,3677.7328,1738.1056,1738.1056,1586.5508,1.561839636,1.346687351,1.398852115,0.97292161,1.36999073,1.2286,1.007676153,1.862719082,5.9459,-0.2709,-0.8415,6.0113,0.56749,-0.19565,-0.44699,-0.35729,0.26272,0.37123,-0.21629,-0.13169,0.20569,0.76314,1.01448,0.92478,0.70971,0.72852,0.58752,0.47901,0.33738,1.72,4.34,6.83,0.872156273
m_naph,1707.2616,1645.4898,1356.4087,1421.462,1432.7054,3672.322,1739.025,1739.025,3649.8596,1.561929332,1.346474627,1.397924485,0.973264515,1.370618942,1.228641764,1.007659211,1.85927354,-5.8216,-0.2661,0.3201,5.8364,0.57022,-0.17662,-0.44935,-0.36176,0.2626,0.37173,-0.21362,-0.12976,0.20713,0.74684,1.01957,0.93198,0.71195,0.73349,0.58535,0.47622,0.33689,1.7,4.31,8.98,1.017033339
m_tfm,1663.5896,1685.5853,1491.1487,1417.84,1385.3766,3665.372,1743.7437,1743.7437,3651.9026,1.565652225,1.344976554,1.39368773,0.973820815,1.374278174,1.2285,1.007621898,1.862225037,-1.1302,-3.8994,0.8416,4.1462,0.56735,-0.19268,-0.44599,-0.35837,0.26398,0.37274,-0.21337,-0.12703,0.2058,0.76003,1.01334,0.92572,0.70997,0.73111,0.58611,0.47735,0.33283,1.95,4.82,7.45,0.986771734
mm_F,1693.8481,1668.1195,1492.9563,1431.1751,1431.1751,3667.9878,1743.1987,1743.1987,1587.1646,1.567468373,1.344269296,1.393362476,0.973689114,1.374742012,1.2282,1.007416423,1.860966641,5.765,-2.8847,-0.7548,6.4905,0.56729,-0.17315,-0.44524,-0.35832,0.26407,0.37216,-0.2125,-0.12819,0.2054,0.74044,1.01253,0.92561,0.70931,0.73048,0.58466,0.47657,0.33359,1.7,3.73,6.85,0.963787827
mm_oMe,1683.0777,1653.7927,1653.7927,1423.706,1423.706,3677.2904,1739.3739,1739.3739,1587.195,1.56499492,1.345740376,1.397203471,0.973046289,1.370051667,1.2287,1.007787532,1.865648879,5.7165,1.9501,-0.8432,6.0985,0.56893,-0.17648,-0.4461,-0.35705,0.26273,0.3717,-0.21656,-0.12997,0.20644,0.74541,1.01503,0.92598,0.70883,0.72875,0.58826,0.47929,0.33641,1.9,4.58,7.6,0.908485019
o_F,1647.7292,1687.8518,1413.8137,1413.8137,1370.9009,3666.2231,1586.2024,1745.9684,3628.936,1.567440774,1.347717144,1.385889209,0.973673344,1.37222485,1.2288,1.009592002,1.877744711,-2.715,-3.7519,0.115,4.6327,0.56696,-0.22879,-0.44747,-0.35422,0.26378,0.37407,-0.21611,-0.12327,0.21214,0.79575,1.01443,0.92118,0.71125,0.72829,0.59018,0.47989,0.33541,1.7,3.71,6.86,1.283301229
o_Me,1641.4617,1672.9086,1406.7799,1406.7799,1406.7799,3661.5657,1739.4563,1739.4563,1587.06,1.568895988,1.348861631,1.397871486,0.973263341,1.371825226,1.2287,1.008424801,1.841841595,-5.825,1.239,-0.2897,5.9624,0.5657,-0.20018,-0.44948,-0.35938,0.26295,0.37246,-0.21448,-0.13198,0.2078,0.76588,1.01518,0.92508,0.71243,0.73184,0.58694,0.47743,0.33978,1.77,4.27,6.84,0.866287339
op_Me,1682.9373,1631.7001,1631.7001,1406.7477,1406.7477,3670.2462,1737.4408,1737.4408,1587.0289,1.566243487,1.349401023,1.39891914,0.97297241,1.371124783,1.2288,1.008501106,1.844522404,-5.8329,0.3238,-0.3614,5.853,0.56564,-0.20628,-0.44979,-0.35914,0.26273,0.37234,-0.2152,-0.13248,0.20789,0.77192,1.01543,0.92478,0.71252,0.73148,0.58754,0.47793,0.34037,1.78,4.27,7.77,0.774516966
