,cross,para,-1-2-,-1-8-,-1-16-,-8-14-,-16-17-,-17-18-,-19-20-,"Dist(1, 2)","Dist(1, 8)","Dist(1, 16)","Dist(8, 14)","Dist(16, 17)","Dist(17, 18)","Dist(19, 20)","Dist(14, 18)",dip_x,dip_y,dip_z,Total,NBO B 1,NBO C 2,NBO O 8,NBO O 16,NBO H 14,NBO C 17,NBO O 18,NBO N 19,NBO H 20,diff B1 C2,diff B1 O8,diff B1 O16,diff O8 H14,diff O16 C17,diff C17 O18,diff H14 O18,diff N19 H20,B1,B5,L,output
Ph,1676.7445,1646.9838,1646.9838,1421.2287,1421.2287,3671.3856,1738.8716,1738.8716,1586.6948,1.562127277,1.346474675,1.398358931,0.973217247,1.370553848,1.2286,1.007645721,1.860223742,-5.7043,1.1125,-0.2971,5.8193,0.56716,-0.1994,-0.44705,-0.35732,0.26291,0.37145,-0.21601,-0.13109,0.20564,0.76656,1.01421,0.92448,0.70996,0.72877,0.58746,0.47892,0.33673,1.7,3.19,6.84,0.748188027
m_F,1684.0999,1657.2891,1657.2891,1423.9594,1423.9594,3670.9136,1741.4523,1741.4523,1587.1366,1.564914898,1.345391499,1.395754279,0.973337467,1.372509157,1.22835845,1.007583136,1.861636508,-6.9481,2.4726,-0.1837,7.3772,0.56711,-0.18605,-0.44579,-0.35794,0.26341,0.37166,-0.21396,-0.12992,0.20536,0.75316,1.0129,0.92505,0.7092,0.7296,0.58562,0.47737,0.33528,1.72,3.75,6.85,1.066325925
m_Me,1678.1559,1653.8159,1461.657,1424.5374,1424.5374,3674.7683,1738.8097,1738.8097,1586.7898,1.561835347,1.346875009,1.398737692,0.973037462,1.369935519,1.228703108,1.007715755,1.861440768,-5.3819,0.9988,-0.3206,5.4832,0.56749,-0.19555,-0.44713,-0.35721,0.26269,0.37137,-0.2165,-0.13136,0.20574,0.76304,1.01462,0.9247,0.70982,0.72858,0.58787,0.47919,0.3371,1.72,4.42,6.83,0.711807229
m_naph,1676.3969,1644.8354,1644.8354,1423.5261,1423.5261,3678.8161,1739.0416,1739.0416,3648.3158,1.561497176,1.346692676,1.398213187,0.972959786,1.370894741,1.228537532,1.007648094,1.862913791,-5.663,0.6859,-0.1562,5.7065,0.57027,-0.17988,-0.45014,-0.36168,0.26283,0.37166,-0.2137,-0.12959,0.20714,0.75015,1.02041,0.93195,0.71297,0.73334,0.58536,0.47653,0.33673,1.7,4.44,8.94,1.006466042
m_tfm,1683.2789,1665.6822,1478.7596,1428.3262,1428.3262,3676.1538,1742.0421,1742.0421,1587.0987,1.565718623,1.34455389,1.394729305,0.973349522,1.374070724,1.228029331,1.007476745,1.863287149,7.8161,-3.8452,-0.6948,8.7384,0.56712,-0.19289,-0.44514,-0.35863,0.2639,0.37167,-0.21214,-0.12916,0.20502,0.76001,1.01226,0.92575,0.70904,0.7303,0.58381,0.47604,0.33418,1.85,4.88,7.4,1.025305865
mm_F,1693.8481,1668.1195,1492.9563,1431.1751,1431.1751,3667.9878,1743.1987,1743.1987,1587.1646,1.567468373,1.344269296,1.393362476,0.973689114,1.374742012,1.2282,1.007416423,1.860966641,5.765,-2.8847,-0.7548,6.4905,0.56729,-0.17315,-0.44524,-0.35832,0.26407,0.37216,-0.2125,-0.12819,0.2054,0.74044,1.01253,0.92561,0.70931,0.73048,0.58466,0.47657,0.33359,1.7,3.73,6.85,0.802773725
mm_oMe,1683.0777,1653.7927,1653.7927,1423.706,1423.706,3677.2904,1739.3739,1739.3739,1587.195,1.56499492,1.345740376,1.397203471,0.973046289,1.370051667,1.2287,1.007787532,1.865648879,5.7165,1.9501,-0.8432,6.0985,0.56893,-0.17648,-0.4461,-0.35705,0.26273,0.3717,-0.21656,-0.12997,0.20644,0.74541,1.01503,0.92598,0.70883,0.72875,0.58826,0.47929,0.33641,1.9,4.58,7.6,0.788875116
o_F,1685.6977,1648.7521,1648.7521,1428.0226,1428.0226,3671.7268,1738.9415,1738.9415,3646.6265,1.568422731,1.341047207,1.399375642,0.973339921,1.371251522,1.22801242,1.007809922,1.862093135,-6.5118,-1.306,2.2385,7.0085,0.5662,-0.22846,-0.4386,-0.35857,0.26237,0.37075,-0.21384,-0.13234,0.20559,0.79466,1.0048,0.92477,0.70097,0.72932,0.58459,0.47621,0.33793,1.7,3.7,6.86,1.066325925
o_Me,1673.3561,1640.1184,1640.1184,1414.5022,1414.5022,3635.2297,1735.7353,1735.7353,1585.4886,1.566866765,1.347124827,1.402273935,0.97478373,1.368229034,1.2295,1.007922031,1.833484118,5.1966,-1.6138,-1.1424,5.5601,0.5661,-0.20146,-0.44969,-0.35767,0.26344,0.37245,-0.2179,-0.13153,0.20598,0.76756,1.01579,0.92377,0.71313,0.73012,0.59035,0.48134,0.33751,1.75,4.31,6.84,0.653212514
op_Me,1681.7187,1631.2748,1631.2748,1406.1964,1355.2948,3639.7325,1736.5398,1736.5398,3648.8323,1.564229158,1.34788685,1.403414044,0.974535346,1.367388697,1.2295,1.007845831,1.834268928,-5.442,0.4802,-0.5585,5.4916,0.56598,-0.20734,-0.45013,-0.35728,0.26325,0.37231,-0.21872,-0.13207,0.20594,0.77332,1.01611,0.92326,0.71338,0.72959,0.59103,0.48197,0.33801,1.82,4.31,7.79,0.525044807
